Item ID,Title,Price (USD),Currency,URL,Condition,Ships From,Source
v1|397841971143|0,PSA10 Lugia Holo Wind from the Sea 2002 Pokemon Card GEMMT,58000.0,USD,https://www.ebay.com/itm/397841971143?_skw=pokemon+card&hash=item5ca13ab7c7:g:0Z4AAeSwTU5p8bx4,Graded,JP,eBay Browse API
v1|317991213107|0,Pokemon Mew 20th Anniversary Festa Promo XY-P Holo PSA 10 Japanese Card Rare JP,56000.0,USD,https://www.ebay.com/itm/317991213107?_skw=pokemon+card&hash=item4a09c0d833:g:EfkAAeSw4mtpYcy7,Graded,JP,eBay Browse API
v1|365618861752|0,PSA10 Pokemon Card Pokemon Weekly Pikachu and the Big Mochi Holo processing,54552.84,USD,https://www.ebay.com/itm/365618861752?_skw=pokemon+card&hash=item55209516b8:g:Sa8AAeSwWGloX9ZR,Graded,JP,eBay Browse API
v1|318166045090|0,PSA 10 Pokemon Japanese Promo JR Rally 2002 6 Card Set Celebi Lugia Mewtwo Japan,50000.0,USD,https://www.ebay.com/itm/318166045090?_skw=pokemon+card&hash=item4a142c91a2:g:gHAAAeSw6z9p4yXf,Graded,JP,eBay Browse API
v1|318043059179|0,PSA10 Mega Charizard Y ex Gold MUR 766/742 Japanese Pokemon Card Rare Gem Japan,50000.0,USD,https://www.ebay.com/itm/318043059179?_skw=pokemon+card&hash=item4a0cd7f3eb:g:DukAAeSw9RFpv-qs,Graded,JP,eBay Browse API
v1|318084999253|0,Rayquaza ex Delta Species 028/068 1st Ed ARS 10+ Ultra Rare Pokemon Card From JP,50000.0,USD,https://www.ebay.com/itm/318084999253?_skw=pokemon+card&hash=item4a0f57e855:g:LgsAAeSwU5Vpy6RX,Ungraded,JP,eBay Browse API
v1|188154294762|0,PSA10 2010 Pokemon Card Game Pikachu World Collection 9 Card Promo Holo,49999.99,USD,https://www.ebay.com/itm/188154294762?_skw=pokemon+card&hash=item2bcedeb1ea:g:3vcAAeSwHxpps7-J,Graded,JP,eBay Browse API
v1|205936401606|0,PSA 10 Mimikyu Munch A Retrospective 289/SM-P Promo Pokemon Card Japanese,49999.95,USD,https://www.ebay.com/itm/205936401606?_skw=pokemon+card&hash=item2ff2c41cc6:g:NOkAAeSwO2dpR3ac,Graded,JP,eBay Browse API
v1|177023136889|0,How I became a Pokémon card Complete set Pokemon Card Japanese,44006.63,USD,https://www.ebay.com/itm/177023136889?_skw=pokemon+card&hash=item293766b479:g:dOIAAeSwtwtpqa8d,Ungraded,JP,eBay Browse API
v1|205672229815|0,PSA 10 Gengar 044/088 Split Earth Skyridge 2002 Holo Japanese Pokemon Card,43999.95,USD,https://www.ebay.com/itm/205672229815?_skw=pokemon+card&hash=item2fe3052bb7:g:Q1QAAeSwrLxonlEX,Graded,JP,eBay Browse API
v1|206065537554|0,PSA 10 Mega Charizard X Y ex MUR 116/080 766/742 Set of 2 Pokemon Card Japanese,43087.95,USD,https://www.ebay.com/itm/206065537554?_skw=pokemon+card&hash=item2ffa769212:g:pv8AAeSw2lNpjVpo,Graded,JP,eBay Browse API
v1|177023136949|0,Gengar Alakazam Machamp Golem Omastar Holo PROMO Old Back Pokemon Card Japanese,40612.56,USD,https://www.ebay.com/itm/177023136949?_skw=pokemon+card&hash=item293766b4b5:g:dOkAAeSwZqVpqa-q,Ungraded,JP,eBay Browse API
v1|318197666570|0,PSA 10 Pokemon Pikachu Mega Charizard X Y Poncho Business Card Set Japanese,40000.0,USD,https://www.ebay.com/itm/318197666570?_skw=pokemon+card&hash=item4a160f130a:g:P0IAAeSw4G1p63PN,Graded,JP,eBay Browse API
v1|227261764157|0,PSA 10 Pikachu 279/XY-P P20th Anniversary Festa 2016 Promo Pokemon Card Japanese,36999.95,USD,https://www.ebay.com/itm/227261764157?_skw=pokemon+card&hash=item34e9db523d:g:dhEAAeSwqGNpuhM2,Graded,JP,eBay Browse API
v1|227317329121|0,PSA 10 Pikachu 279/XY-P P20th Anniversary Festa 2016 Promo Pokemon Card Japanese,36999.9,USD,https://www.ebay.com/itm/227317329121?_skw=pokemon+card&hash=item34ed2b2ce1:g:Fs4AAeSwLQ1p7cED,Graded,JP,eBay Browse API
v1|365620739240|0,BGS pokemon card English version Charizard Signed by Mitsuhiro Arita,36189.89,USD,https://www.ebay.com/itm/365620739240?_skw=pokemon+card&hash=item5520b1bca8:g:z-wAAOSwsAhoL9sp,Graded,JP,eBay Browse API
v1|395887784293|0,PSA10 Pikachu Holo 20th Anniversary festa 2016 Pokemon Card PROMO 279/XY-P GEMMT,36000.0,USD,https://www.ebay.com/itm/395887784293?_skw=pokemon+card&hash=item5c2cc03165:g:0RcAAeSwV81o17IB,Graded,JP,eBay Browse API
v1|318034443552|0,PSA 10 Pokemon Eeveelution VMAX 7-Card Complete Set English Holo Rare TCG Japan,36000.0,USD,https://www.ebay.com/itm/318034443552?_skw=pokemon+card&hash=item4a0c547d20:g:RbQAAeSw0Ulp7ySD,Graded,JP,eBay Browse API
v1|226151801262|0,PSA10 Mario Pikachu 294/XY-P Special Box Promo 2016 Pokemon Card Japanese,35999.95,USD,https://www.ebay.com/itm/226151801262?_skw=pokemon+card&hash=item34a7b2a1ae:g:qJIAAeSw635puj4G,Graded,JP,eBay Browse API
v1|365727023201|0,PSA 10 Pokemon Card Pikachu δ Delta species 118/PCG-P,35992.83,USD,https://www.ebay.com/itm/365727023201?_skw=pokemon+card&hash=item5527078061:g:aSoAAeSwevBocyDR,Graded,JP,eBay Browse API
v1|317904326443|0,PSA 10 Pokemon card Charizard UR BW7 Plasma Gale 077/070 Extremely rare Japanese,35930.88,USD,https://www.ebay.com/itm/317904326443?_skw=pokemon+card&hash=item4a04930f2b:g:g6sAAeSw09dpmLST,Graded,JP,eBay Browse API
v1|177023136973|0,Old Back 1st ED No Rarity & Gift box Pikachu etc Pokemon Card Japanese,35216.89,USD,https://www.ebay.com/itm/177023136973?_skw=pokemon+card&hash=item293766b4cd:g:YmUAAeSwh6hpqa7C,Ungraded,JP,eBay Browse API
v1|358387914604|0,Pokemon Card Pikachu C: Master Ball Mirror BGS10 BK,34999.99,USD,https://www.ebay.com/itm/358387914604?_skw=pokemon+card&hash=item537195976c:g:~SoAAeSwvqRpyXFX,Graded,JP,eBay Browse API
v1|375471016879|0,Pokemon Card Game Expansion Pack Complete Set Unopened Pack Out of Print Pack,35000.0,USD,https://www.ebay.com/itm/375471016879?_skw=pokemon+card&hash=item576bd10baf:g:OsgAAOSwO4JmYdZ7,Ungraded,JP,eBay Browse API
v1|317554589428|0,PSA10 Pokemon Summer Campaign S-P Promo Set 3 Card Serial Numbered Sealed Japan,35000.0,USD,https://www.ebay.com/itm/317554589428?_skw=pokemon+card&hash=item49efba7ef4:g:RNEAAeSwiC1pHGHK,Graded,JP,eBay Browse API
v1|317913605766|0,Pokemon Card Charizard VS Promo ARS 10+ Japanese Vintage 2001 rare From Japan,35000.0,USD,https://www.ebay.com/itm/317913605766?_skw=pokemon+card&hash=item4a0520a686:g:hkUAAeSwzGxpm9uY,Ungraded,JP,eBay Browse API
v1|318235430617|0,PSA 10 Pokemon Trader No Rarity Symbol 1996 Japanese Basic Set Trainer Card,35000.0,USD,https://www.ebay.com/itm/318235430617?_skw=pokemon+card&hash=item4a184f4ed9:g:eeEAAeSw0F5p9Xi9,Graded,JP,eBay Browse API
v1|227317317425|0,PSA 10 Mario Pikachu 294/XY-P Special Box Promo 2016 Pokemon Card Japanese,34999.95,USD,https://www.ebay.com/itm/227317317425?_skw=pokemon+card&hash=item34ed2aff31:g:Nw0AAeSwhS1p7b4u,Graded,JP,eBay Browse API
v1|177023136969|0,1st ED No Rarity Holo set Corocoro PROMO & Poster Old Back Pokemon Card Japanese,33851.25,USD,https://www.ebay.com/itm/177023136969?_skw=pokemon+card&hash=item293766b4c9:g:ZnYAAeSwZyJpqa67,Ungraded,JP,eBay Browse API
v1|227274007181|0,Pokemon Card Vhtf Dp Movie 10Th Anniversary Premium Sheet JPN Movie Theater Limi,33790.89,USD,https://www.ebay.com/itm/227274007181?_skw=pokemon+card&hash=item34ea96228d:g:m6MAAeSwYwFpxSB-,Ungraded,JP,eBay Browse API
