ebay_title,search_keywords,ebay_price_usd,ebay_price_jpy,total_fees_jpy,mercari_price,hardoff_price,yahoofleamarket_price,min_sourcing_price,profit_jpy,profit_rate,seller
1999 Pokemon Base Set: Choose Your Card! All Cards Available - 100% Authentic,ポケモンカード ベースセット 1999,3.99,627,182,5000,,,5000,4191,83.8%,evcards
"500 Pokemon Card Lot + 50 Holo, Rares, Reverse Foils EX V - Gift Box Collection",ポケモンカード ホロ EX まとめ売り,49.99,7854,2282,1700,,,1700,-8436,-496.2%,shinyrectangles
"Pokemon Card Lot 100 TCG Cards + Ultra Rare, 10 Holos | VMAX GX EX VSTAR OR V!",ポケモンカード ホロ TCG ウルトラレア EX VMAX VSTAR まとめ売り,12.82,2014,585,1999,,,1999,-600,-30.0%,rurap-9
Pokemon Card Lot 100 Official TCG Cards Ultra Rare Included EX GX V MEGA + HOLOS,ポケモンカード ホロ TCG ウルトラレア EX まとめ売り,19.75,3103,901,500,,,500,-3505,-700.9%,shine1br
EX Pokémon Cards! Full Art Rare Mega Break XY Black and White Choose Your Card!,ポケモンカード フルアート EX XY,7.99,1255,365,19555,,,19555,17935,91.7%,overstackedcards
Pokemon 10 Card GUARANTEED 1 EX / GX / V / V max / Hyper rare / Primal NM/M,ポケモンカード EX,3.99,627,182,500,7000,,500,-309,-61.8%,furret_inc
500+ Pokemon Card Bulk Lot | Free EX/V/VSTAR Rare + Holos | Makes a great gift!,ポケモンカード ホロ EX VSTAR まとめ売り,29.99,4712,1369,3700,,,3700,-2381,-64.3%,thunderstone_tcg
Squirtle Wartortle Blastoise Pokemon Card! Holo/Reverse Holo EX Full Art Cards!,ポケモンカード フリーザー ホロ リバースホロ フルアート EX,149.99,23566,6846,5000,,,5000,-25412,-508.2%,overstackedcards
Pokemon Prismatic Evolutions: Choose Your Card! Reverse Holo/Holo EX Full Art NM,ポケモンカード ホロ リバースホロ フルアート EX,7.99,1255,365,7500,,,7500,5880,78.4%,overstackedcards
